Threshold,Precision,Recall,F1-Score,Accuracy
0.78,0.9959677419354839,0.6785714285714286,0.8071895424836601,0.9301637403827185
0.79,0.9973009446693657,0.6767399267399268,0.8063284233496999,0.9299664628131782
0.8,0.9972936400541272,0.674908424908425,0.8050245767340252,0.9295719076740975
0.81,0.9972862957937585,0.6730769230769231,0.8037178786221979,0.9291773525350168
0.82,0.9986338797814208,0.6694139194139194,0.8015350877192983,0.9285855198263957
0.83,0.9986263736263736,0.6657509157509157,0.798901098901099,0.9277964095482344
0.84,0.9986206896551724,0.663003663003663,0.7969179966978536,0.9272045768396133
0.85,0.9986111111111111,0.6584249084249084,0.7935982339955849,0.9262181889919117
0.86,0.9985955056179775,0.6510989010989011,0.7882483370288248,0.9246399684355888
0.87,0.998587570621469,0.6474358974358975,0.7855555555555556,0.9238508581574275
0.88,1.0,0.6382783882783882,0.7792062604807155,0.9220753600315644
0.89,1.0,0.6272893772893773,0.770962296004502,0.9197080291970803
0.9,1.0,0.6163003663003663,0.7626062322946175,0.9173406983625961
0.91,1.0,0.6108058608058609,0.7583854462762933,0.9161570329453541
0.92,1.0,0.6025641025641025,0.752,0.914381534819491
0.93,1.0,0.5879120879120879,0.740484429065744,0.9112250937068456
0.94,1.0,0.576007326007326,0.7309703660662406,0.9086604853028211
0.95,1.0,0.5622710622710623,0.7198124267291911,0.905701321759716
